"","threshold.value","Year","Fire_Name","Fire_ID","Country","Sky_Island","pc1","pc2","pland","clumpy","nndist.cv"
"106",450,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"107",460,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"108",470,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"109",480,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"110",490,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"111",500,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"112",510,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"113",520,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"114",530,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"115",540,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"116",550,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"117",560,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"118",570,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"119",580,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"120",590,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"121",600,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"122",610,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"123",620,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"124",630,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"125",640,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"126",650,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"127",450,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0.0666666666666667,-1,NA
"128",460,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"129",470,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"130",480,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"131",490,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"132",500,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"133",510,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"134",520,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"135",530,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"136",540,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"137",550,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"138",560,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"139",570,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"140",580,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"141",590,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"142",600,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"143",610,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"144",620,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"145",630,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"146",640,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"147",650,2007,"ATACOSA-CIBUTAQ-20071121","ATACOSA-CIBUTAQ-20071121","MEX","ATASCOSA - CIBUTA",1.15919651882723,-2.1539261713624,0,NA,NA
"148",450,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"149",460,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"150",470,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"151",480,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"152",490,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"153",500,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"154",510,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"155",520,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"156",530,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"157",540,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"158",550,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"159",560,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"160",570,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"161",580,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"162",590,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"163",600,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"164",610,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"165",620,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"166",630,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"167",640,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"168",650,1993,"ATASCOSA-CIBUTA-19930613","ATASCOSA-CIBUTA-19930613","MEX","ATASCOSA - CIBUTA",0.26155371312052,-1.39271782711148,0,NA,NA
"169",450,1996,"ATASCOSA-CIBUTA-19960731","ATASCOSA-CIBUTA-19960731","MEX","ATASCOSA - CIBUTA",1.83832219746206,-2.18467029580822,0.0138888888888889,-1,0
"170",460,1996,"ATASCOSA-CIBUTA-19960731","ATASCOSA-CIBUTA-19960731","MEX","ATASCOSA - CIBUTA",1.83832219746206,-2.18467029580822,0.00694444444444444,NA,NA
"171",470,1996,"ATASCOSA-CIBUTA-19960731","ATASCOSA-CIBUTA-19960731","MEX","ATASCOSA - CIBUTA",1.83832219746206,-2.18467029580822,0.00694444444444444,NA,NA
"172",480,1996,"ATASCOSA-CIBUTA-19960731","ATASCOSA-CIBUTA-19960731","MEX","ATASCOSA - CIBUTA",1.83832219746206,-2.18467029580822,0.00694444444444444,NA,NA
"173",490,1996,"ATASCOSA-CIBUTA-19960731","ATASCOSA-CIBUTA-19960731","MEX","ATASCOSA - CIBUTA",1.83832219746206,-2.18467029580822,0.00694444444444444,NA,NA
"174",500,1996,"ATASCOSA-CIBUTA-19960731","ATASCOSA-CIBUTA-19960731","MEX","ATASCOSA - CIBUTA",1.83832219746206,-2.18467029580822,0.00694444444444444,NA,NA
"175",510,1996,"ATASCOSA-CIBUTA-19960731","ATASCOSA-CIBUTA-19960731","MEX","ATASCOSA - CIBUTA",1.83832219746206,-2.18467029580822,0,NA,NA
"176",520,1996,"ATASCOSA-CIBUTA-19960731","ATASCOSA-CIBUTA-19960731","MEX","ATASCOSA - CIBUTA",1.83832219746206,-2.18467029580822,0,NA,NA
"177",530,1996,"ATASCOSA-CIBUTA-19960731","ATASCOSA-CIBUTA-19960731","MEX","ATASCOSA - CIBUTA",1.83832219746206,-2.18467029580822,0,NA,NA
"178",540,1996,"ATASCOSA-CIBUTA-19960731","ATASCOSA-CIBUTA-19960731","MEX","ATASCOSA - CIBUTA",1.83832219746206,-2.18467029580822,0,NA,NA
"179",550,1996,"ATASCOSA-CIBUTA-19960731","ATASCOSA-CIBUTA-19960731","MEX","ATASCOSA - CIBUTA",1.83832219746206,-2.18467029580822,0,NA,NA
"180",560,1996,"ATASCOSA-CIBUTA-19960731","ATASCOSA-CIBUTA-19960731","MEX","ATASCOSA - CIBUTA",1.83832219746206,-2.18467029580822,0,NA,NA
